Date,Label,Speaker,Political Party,Subject,Photo
2014-07-16,False,Roberto Alonzo,Democrat,Education;Legal Issues;Population;States,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/alonzo071714pft.jpg
2014-07-08,Half True, Republican Party of Florida,Republican,Economy;Jobs,https://s3.amazonaws.com/static.politifact.com/mugs/mug-rnc___.jpg
2014-07-12,Pants on Fire, Bloggers,None,Foreign Policy;Sports,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2014-07-14,True,Jason Riley,None,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/jason_riley.jpg
2014-07-16,False, Facebook posts,None,Foreign Policy;Legal Issues;Military;Terrorism,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Facebook_icon_1.jpg
2014-07-13,Mostly False,Rick Santorum,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Rick_Santorum_2.jpg
2014-07-14,Half True,Rush Limbaugh,None,Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/rush_limbaugh6.jpg
2014-07-13,Half True,Cokie Roberts,Journalist,Crime;Criminal Justice;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/cokieroberts.jpg
2014-06-26,False,Brad Schimel,Republican,Elections;Ethics;Gays and Lesbians;Guns;Legal Issues;Marriage,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Brad_Schimel.jpg
2014-07-25,Mostly True,Angel Taveras,Democrat,Education;Job Accomplishments;Message Machine 2014,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Taveras-091214.jpg
2014-07-01,Mostly False,Jack Kingston,Republican,Economy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Jack_Kingston.jpg
2014-07-09,Half True,Michael Eric Dyson,None,Abortion;Sexuality,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/michael-eric-dyson-090.jpg
2014-07-13,Half True,Luis Gutierrez,Democrat,Federal Budget;Immigration;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/LGut.jpg
2014-07-01,False,Lou Dobbs,None,Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/Dobbs.jpg
2014-06-17,Mostly False,David Perdue,Republican,Federal Budget,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/David_Perdue.jpg
2014-07-13,False,Donna Edwards,Democrat,Health Care;Polls and Public Opinion,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Donna_Edwards_mug.jpg
2014-07-08,Mostly True,Lawrence O'Donnell,None,Foreign Policy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/lawrence_6-15.jpg
2014-06-23,False,Mark Sickles,Democrat,Medicaid,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/SICKLE.JPG
2014-07-14,Pants on Fire, Facebook posts,None,Ethics;Foreign Policy,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Facebook_icon_1.jpg
2014-07-10,Mostly False,Steve King,Republican,Corrections and Updates;Federal Budget;Immigration,https://s3.amazonaws.com/static.politifact.com/mugs/Steve_King.jpg
2014-07-07,Pants on Fire,John DePetro,Talk show host,Economy;Environment;History;Pundits;Recreation;State Budget;State Finances;Tourism,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/john_depetro.jpg
2014-05-17,Half True,David Perdue,Republican,Federal Budget,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/David_Perdue.jpg
2014-07-13,Mostly False,Rick Santorum,Republican,Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Rick_Santorum_2.jpg
2014-07-13,Half True,Beto O'Rourke,Democrat,Supreme Court,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/neworourkemug0317.jpg
2014-07-06,Half True,Gary George,Democrat,Education,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/GMTI_photoj2004q3m08t05h12173400.jff.1_1_1.jpg
2014-07-06,False,Nicholas Mattiello,Democrat,Government Efficiency;History;Job Accomplishments;Voting Record,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Nicholas_Mattiello.jpg
2014-06-23,Half True,Mike Collins,Republican,Elections,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Mike_Collins.jpg
2014-07-10,False,Nancy  Pelosi,Democrat,Health Care;Sexuality;Women,https://s3.amazonaws.com/static.politifact.com/mugs/mug-nancypelosi.jpg
2014-07-09,False,Monica Wehby,Republican,Economy;Jobs,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Wehby.JPG
2014-07-09,False,Jeff Merkley,Democrat,Economy;Jobs,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Jeff_Merkley.jpg
2014-07-02,False,Kendall Jones,None,Corrections and Updates;Environment;Sports,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/10372795_705487769505549_5339962440700928210_n.jpg
2014-06-23,Mostly True,Kirk Cox,Republican,Medicaid;Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/KIRK_COX_II_20147097.JPG
2014-07-08,Mostly False,David Perdue,Republican,Congress,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/David_Perdue.jpg
2014-07-08,Mostly True, Republican Party of Florida,Republican,Taxes,https://s3.amazonaws.com/static.politifact.com/mugs/mug-rnc___.jpg
2014-07-07,Mostly True,Charlie Crist,Democrat,Taxes,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/crist.JPG
2014-07-08,False,Jeff Flake,Republican,Children;Foreign Policy;Immigration;Legal Issues,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Jeff_Flake_mug.jpg
2014-07-06,True,Henry Cuellar,Democrat,Children;Human Rights;Immigration,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/cuellar.jpg
2014-07-10,False,Alison Lundergan Grimes,Democrat,Federal Budget;Health Care;Medicare,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Grimes_pick.jpg
2014-07-09,Half True,Mitch McConnell,Republican,Health Care;Medicare,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/mcconnell.jpg
2014-07-06,Mostly True,Peter Beinart,None,Polls and Public Opinion;Sports,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Peter-Beinart.jpg
2014-07-08,Mostly True,Scott Walker,Republican,Jobs;State Budget,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Scott_Walker_1_1.jpg
2014-07-01,Pants on Fire, Bloggers,None,Criminal Justice;Legal Issues,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2014-07-03,Mostly False, Facebook posts,None,Diversity;Women,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Facebook_icon_1.jpg
2014-07-08,Half True,Tom Cotton,Republican,Candidate Biography;Congress;Federal Budget;Homeland Security;Voting Record;Weather,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Tom_Cotton_mug.jpg
2014-07-02,Half True,Charlie Crist,Democrat,Health Care;Medicaid;Poverty,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/crist.JPG
2014-07-06,Pants on Fire,Sean Spicer,Republican,Supreme Court,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/SPICER.jpg
2014-07-01,False, Bloggers,None,Sports,https://s3.amazonaws.com/static.politifact.com/mugs/mug-bloggers.jpg
2014-06-19,Mostly True,Scott Walker,Republican,Jobs,https://s3.amazonaws.com/static.politifact.com/politifact/mugs/Scott_Walker_1_1.jpg
